income_group,age_target,pop_2019,proportion,deaths,life_years_lost,vaccine_n,t_start,R0,reduction1,reduction2,coverage,immunosenescence,mode,hs_constraints,efficacy,duration_R,duration_V,dur_vacc_delay,vaccine_start,vaccine_period,seeding_cases,timing1,timing2,deaths_cf,life_years_lost_cf,deaths_averted_2021,additional_life_years_2021,vaccine_n_2021,dapd_2021
LMIC,0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1,2913363391,70.499357392,13551.15,357177.54,28178856,60,2.5,0.5599999999999999,0.19999999999999996,0.8,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,124987.59,3011225.52,6493097,154644124.45779,1643121975.319024,0.003951682892403236
LMIC,0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,2913363391,80.11721242,1542.17,39761.69,32025744,60,2.5,0.5599999999999999,0.19999999999999996,0.8,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,124987.59,3011225.52,7192827,173139078.80005297,1867284429.227188,0.003852025373004846
LMIC,0_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,2913363391,90.083226736,519.44,12125.08,36011965,60,2.5,0.5599999999999999,0.19999999999999996,0.8,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,124987.59,3011225.52,7252419,174749388.55655983,2099561399.3265188,0.003454254303935277
LMIC,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,2913363391,100.000000001,521.94,12185.72,39978364,60,2.5,0.5599999999999999,0.19999999999999996,0.8,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,124987.59,3011225.52,7252273,174745855.22943923,2330690712.823307,0.0031116410942466414
LIC,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,664957848,0,136696.91,4048090.27,0,60,2.5,0.5599999999999999,0.19999999999999996,0.8,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,136696.91,4048090.27,0,0,0,NA
LIC,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1,664957848,0.40741007,125974.61,3998513.59,157009,60,2.5,0.5599999999999999,0.19999999999999996,0.8,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,136696.91,4048090.27,142598,659328.0488756951,2167284.187205835,0.065795709137639255
LIC,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_1,664957848,0.895441948,121139.92,3950132.34,349702,60,2.5,0.5599999999999999,0.19999999999999996,0.8,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,136696.91,4048090.27,206895,1302757.886546695,4763449.206008064,0.04343386295356033
LIC,0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1,664957848,1.706975825,114058.06,3844656.06,669732,60,2.5,0.5599999999999999,0.19999999999999996,0.8,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,136696.91,4048090.27,301078,2705503.489823601,9080535.769440196,0.033156413635113194
LIC,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,664957848,3.100687627,104632.4,3658531.14,1221881,60,2.5,0.5599999999999999,0.19999999999999996,0.8,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,136696.91,4048090.27,426431,5180808.015071043,16494612.574161176,0.02585274422680315
LIC,0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1,664957848,5.012047408,91312.44,3322923.59,1981289,60,2.5,0.5599999999999999,0.19999999999999996,0.8,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,136696.91,4048090.27,603575,9644105.499482095,26662402.06798126,0.022637682773707403
LIC,0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1,664957848,7.472404681,79655.37,2975729.07,2961281,60,2.5,0.5599999999999999,0.19999999999999996,0.8,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,136696.91,4048090.27,758604,14261499.916613955,39750673.0885031,0.019084054207359005
LIC,0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1,664957848,10.572568673000001,70195.42,2652521.91,4198285,60,2.5,0.5599999999999999,0.19999999999999996,0.8,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,136696.91,4048090.27,884414,18559882.668049786,56242500.10104238,0.01572501219560132
LIC,0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1_1,664957848,14.450313295,62162.24,2345555.46,5746873,60,2.5,0.5599999999999999,0.19999999999999996,0.8,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,136696.91,4048090.27,991248,22642277.66805378,76870793.85255192,0.012894988464687137
LIC,0_0_0_0_0_0_0_0_1_1_1_1_1_1_1_1_1,664957848,19.19579052,54259.37,2019408.37,7642734,60,2.5,0.5599999999999999,0.19999999999999996,0.8,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,136696.91,4048090.27,1096350,26979759.01001102,102115132.43870401,0.010736410694645076
LIC,0_0_0_0_0_0_0_1_1_1_1_1_1_1_1_1_1,664957848,24.761385632,46622.75,1693419.83,9867177,60,2.5,0.5599999999999999,0.19999999999999996,0.8,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,136696.91,4048090.27,1197910,31315131.770632263,131722221.62682274,0.009094213453169304
LIC,0_0_0_0_0_0_1_1_1_1_1_1_1_1_1_1_1,664957848,31.369080351,39927.22,1407098.38,12508798,60,2.5,0.5599999999999999,0.19999999999999996,0.8,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,136696.91,4048090.27,1286955,35122965.67519706,166872929.31152037,0.007712185585221538
LIC,0_0_0_0_0_1_1_1_1_1_1_1_1_1_1_1_1,664957848,39.396925047,34220.72,1170696.01,15719003,60,2.5,0.5599999999999999,0.19999999999999996,0.8,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,136696.91,4048090.27,1362847,38266917.89954305,209578355.97656336,0.006502804135711437
LIC,0_0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1,664957848,49.059783608000004,27450.88,911267.32,19583239,60,2.5,0.5599999999999999,0.19999999999999996,0.8,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,136696.91,4048090.27,1452880,41717100.76778024,260981505.05057088,0.005566984525276888
LIC,0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1,664957848,59.937454808,9827.61,316716.19,23933431,60,2.5,0.5599999999999999,0.19999999999999996,0.8,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,136696.91,4048090.27,1687255,49624129.566395596,318847047.70979947,0.005291737879083846
LIC,0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,664957848,71.965867338,759.6,21793.59,28743599,60,2.5,0.5599999999999999,0.19999999999999996,0.8,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,136696.91,4048090.27,1807852,53546351.51484689,382834146.19623977,0.004722285140869592
LIC,0_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,664957848,85.159711888,753.8,21516.84,34020655,60,2.5,0.5599999999999999,0.19999999999999996,0.8,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,136696.91,4048090.27,1807929,53550032.05653557,453020950.02675605,0.003990828679983169
LIC,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,664957848,99.999999998,766.9,21845.9,39956511,60,2.5,0.5599999999999999,0.19999999999999996,0.8,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,136696.91,4048090.27,1807755,53545655.83594632,531966278.3893607,0.0033982511174831544
