income_group,age_target,pop_2019,proportion,deaths,life_years_lost,t_start,R0,reduction1,reduction2,coverage,immunosenescence,mode,hs_constraints,efficacy,duration_R,duration_V,dur_vacc_delay,vaccine_start,vaccine_period,seeding_cases,timing1,timing2,deaths_cf,life_years_lost_cf,deaths_averted_2021,additional_life_years_2021,vaccine_n_2021,dapd_2021,pop_age_target,relative_constraint,cost,y,strategy
LMIC,0_0_0_0_0_0_1_1_1_1_1_1_1_1_1_1_1,2913363391,43.795355885,21980.69,676000.03,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,125086.66,3014212.11,6007703.167830885,136241229.48531926,1020734292,0.005885668007284878,1275917865,35.036284699439335,1020734292,136241229.48531926,Target older groups first
LMIC,0_0_0_0_0_1_1_1_1_1_1_1_1_1_1_1_1,2913363391,52.570135289,19251.64,587783.54,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,125086.66,3014212.11,6166717.455075057,141381363.3342896,1225247261,0.005033039168445197,1531559076,42.05610823507461,1225247261,141381363.3342896,Target older groups first
LMIC,0_0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1,2913363391,61.39654081,17066.05,514951,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,125086.66,3014212.11,6294065.81294977,145625116.4484805,1430963474,0.004398481110453948,1788704343,49.11723262606206,1430963474,145625116.4484805,Target older groups first
LMIC,0_0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1,2913363391,70.499357392,12140.34,361876.01,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,125086.66,3014212.11,6581073.476723423,154544377.88735428,1643121975,0.004005225160138011,2053902469,56.39948590264963,1643121975,154544377.88735428,Target older groups first
LMIC,0_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,2913363391,80.11721242,1363.26,37620.91,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,125086.66,3014212.11,7209024.483400988,173437836.64105517,1867284430,0.0038606997255284685,2334105537,64.09376996252645,1867284430,173437836.64105517,Target older groups first
LMIC,0_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,2913363391,90.083226736,631.7,15554.61,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,125086.66,3014212.11,7251650.485847388,174723579.65295166,2099561399,0.003453888268365725,2624451749,72.06658137759239,2099561399,174723579.65295166,Target older groups first
LMIC,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,2913363391,100.000000001,634.49,15614.92,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,125086.66,3014212.11,7251487.920170169,174720065.5540294,2330690713,0.003111304249968887,2913363391,80.00000000686491,2330690713,174720065.5540294,Target older groups first
UMIC,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1,2855862789,2.108088412,80786.38,1738706.16,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,108456.8,1874003.76,1580458.4566800275,7727827.625620133,48163290,0.032814586715730204,60204113,1.6864707291089676,48163290,7727827.625620133,Target older groups first
UMIC,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_1,2855862789,3.8811223,70916.87,1636795.45,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,108456.8,1874003.76,2144177.7837732956,13548687.715411535,88671622,0.024181104779924096,110839528,3.1048978382833643,88671622,13548687.715411535,Target older groups first
UMIC,0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1,2855862789,6.363369743,61331.42,1488083.81,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,108456.8,1874003.76,2691672.383189697,22042688.49475481,145383287,0.01851431784701812,181729109,5.090695798130658,145383287,22042688.49475481,Target older groups first
UMIC,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,2855862789,9.792123998,52372.77,1311642.11,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,108456.8,1874003.76,3203365.8866831935,32120554.20391283,223719701,0.014318658038709202,279649626,7.833699219083876,223719701,32120554.20391283,Target older groups first
UMIC,0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1,2855862789,14.873932404,43496.99,1100402.48,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,108456.8,1874003.76,3710326.0831902022,44185982.1814954,339823281,0.010918398752190538,424779101,11.899145936174037,339823281,44185982.1814954,Target older groups first
UMIC,0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1,2855862789,20.408997593,37613.88,942211.61,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,108456.8,1874003.76,4046353.1818420785,53221410.56534612,466282374,0.008677902929477798,582852968,16.327198064136404,466282374,53221410.56534612,Target older groups first
UMIC,0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1,2855862789,25.667665018,31954.58,783747.07,60,2.5,0.5599999999999999,0.19999999999999996,0.8,1,Infection,Present,0.9,365,5000,7,327,30,60,60,357,108456.8,1874003.76,4369596.867477831,62272470.22858616,586426635,0.007451225106213516,733033294,20.53413200587768,586426635,62272470.22858616,Target older groups first
