run_number,deaths,life_years_lost,vaccine_n
26000,373.52,8473.87,39659609
26001,74782.24,1821796.72,6019144
26002,58076.13,1463949.3,2535395
26003,45912.1,1270392.94,1361843
26004,38466.28,1164156.79,674739
26005,71989.65,1752898.25,7982719
26006,51035.53,1295475.97,5739160
26007,41254.76,1144910.22,5328160
26008,36645.46,1100449.31,6610973
26009,70810.06,1728787.78,7960213
26010,51927.77,1302593.01,5777071
26011,41130.79,1129455.08,5347951
26012,35934.18,1075245.07,5952307
26013,67763.16,1653935.11,9926341
26014,44037.32,1112187.62,8981475
26015,35833.19,986899.26,9314920
26016,33834.18,1004085.71,11888423
26017,71404.55,1747795.9,7864179
26018,51151.15,1284538.68,5600904
26019,40397.21,1108533.83,5208801
26020,35218.01,1049952.4,5486086
26021,67137.87,1647925.82,9807424
26022,42363.38,1057439.25,8842524
26023,33428.78,908936.54,9194783
26024,32021.39,943789.36,10763810
26025,63824.37,1566202.59,11771395
26026,30484.55,766339.71,12047045
26027,25348.54,691159.55,13161690
26028,29245.29,853830.3,16699683
26029,71346.07,1732933.7,7882572
26030,51391.24,1290463.66,5208112
26031,40457.21,1107057.75,5002464
26032,35139.01,1046777.46,5027012
26033,67646.06,1651451.29,9729114
26034,42169.03,1053995.04,8272104
26035,32885.53,890671.68,8849470
26036,30875.53,904651.79,9837097
26037,63040.68,1542768.83,11667821
26038,7189.71,176493.19,11513582
26039,4328.02,113505.43,12835684
26040,25633.64,741007.41,15114671
26041,59212.24,1448464.76,13631225
26042,813.54,17535.38,14720168
26043,681.07,15933.24,16803618
26044,18153.27,517768.59,21050564
26045,69717.19,1694325.56,8289018
26046,53116.67,1324974.38,5629823
26047,42259.22,1154457.58,4891825
26048,35734.37,1063536.14,4539851
26049,66037.92,1599921.32,10153662
26050,46035.13,1143456.12,8301096
26051,36457.93,984726.07,8532953
26052,31984.77,936747.32,8890645
26053,61876.07,1506892.28,11995735
26054,34681.34,856398.88,11364256
26055,27186.36,725489.92,12379938
26056,26059.65,749014.18,13702088
26057,56183.03,1372047.25,13937119
26058,1272.84,28589.96,14605990
26059,896.95,21442.69,16366230
26060,12257.27,345366.04,18979536
26061,50742.72,1239145.73,15903391
26062,571.6,11366.75,17809734
26063,497.95,10935.04,20332881
26064,2817.52,77130.24,24915503
26065,69748.8,1692537.26,8751776
26066,52536.56,1309948.75,5944409
26067,41931.36,1144744.47,4871380
26068,36050.99,1070774.82,3885760
26069,64641.94,1564719,11021033
26070,47630.77,1174637.18,9037054
26071,38286.61,1031996.07,8401696
