run_number,deaths,life_years_lost,vaccine_n
6128,1045.1,28063.03,31638484
6129,498.26,8447.9,21098216
6130,544.15,9674.2,27399025
6131,593.56,13457.72,30915234
6132,921.64,24999.97,33862746
6133,120318.28,1813612.35,5383775
6134,90442.94,1485037.22,4574558
6135,94542.67,2097362.8,4605551
6136,117958.02,3346096.69,3444577
6137,114618.02,1722270.56,7347033
6138,77236.86,1280718.61,7778633
6139,83211.55,1850291.51,8572966
6140,111540.21,3104760.4,9381686
6141,103306.82,1556362.6,9289405
6142,64701.39,1066785.89,11020605
6143,70120.06,1536910.31,12558329
6144,101276.62,2737074.77,14657828
6145,86693.04,1333757.87,11133217
6146,33212.65,548194.95,14086587
6147,38945.44,847160.74,16407633
6148,82974.82,2156906.25,19471224
6149,43497.39,676304.68,12995794
6150,662.52,11678.53,16758940
6151,729.7,16368.79,20045987
6152,21370.79,530663.24,23818831
6153,7326.12,115182.71,15265172
6154,588.81,10426.67,19848894
6155,647.25,14585.64,23580069
6156,1943.61,49632.4,27686323
6157,1728.93,27533.66,18000385
6158,560.69,9952.77,23258047
6159,614.83,13896.73,27085900
6160,1077.98,28777.33,30892729
6161,547.53,9218.17,20979822
6162,552,9788.43,26579765
6163,603.33,13635.7,30401006
6164,936.3,25331.85,33534477
6165,95526.27,1400668.19,8320328
6166,77748.29,1251278.06,7725715
6167,82519.46,1795553.81,7662924
6168,108302.8,2975035.42,5669096
6169,88965.42,1298512.97,10283856
6170,64575.6,1051129.7,10930259
6171,71027.58,1551962.82,11630181
6172,101407.62,2728231.61,11605848
6173,74176.78,1085412.4,12225777
6174,51323.05,830355.37,14174420
6175,57055.12,1228607.93,15615429
6176,89750,2332825.55,16882975
6177,34395.85,524391.77,14070567
6178,12503.52,203649.62,17236809
6179,16108.74,349458.87,19465812
6180,55884.46,1382758.03,21692147
6181,1179.21,18643.01,15932838
6182,571.38,10140.24,19907656
6183,625.8,14127.15,23102964
6184,2162.48,54169.54,26044107
6185,587.4,9745.04,18201749
6186,550.81,9781.4,23000935
6187,601.83,13602.1,26633537
6188,1023.31,27385.06,29907335
6189,511.9,8616.93,20934339
6190,540.28,9600.46,26408992
6191,589.29,13336.44,30142803
6192,924.81,25030.2,33117067
6193,71140.2,1031304.92,11304836
6194,69913.75,1101082,11047710
6195,74591.49,1595879.05,10977576
6196,99052.22,2630868.51,8310764
6197,64552.41,930053.68,13267918
6198,57343.7,913765.23,14251287
6199,63519.8,1366523.91,14943927
6200,91922.9,2389904.1,14246670
6201,46654.36,673090.12,15208745
6202,44133.92,698908.41,17493266
6203,49486.55,1049478.95,18930323
6204,78288.5,1958462.83,19526428
6205,4229.52,65891.96,17052442
6206,6181.72,99242.82,20558431
6207,8232.14,177246.61,22776821
6208,14545.15,344147,24334746
6209,506.12,8525.08,18915547
6210,553.02,9810.24,23230004
6211,602.77,13617.29,26418883
6212,1059.24,28081.22,28685367
6213,476.86,8091.82,21184645
6214,542.85,9629.86,26321970
6215,591.19,13361.05,29947990
6216,914.36,24750.39,32548414
6217,61619.91,886906.7,14036220
6218,61623.6,956638.31,14460712
6219,66588.18,1408995.15,14490006
6220,90253.59,2323758.07,11521661
6221,55510.94,793277.79,15999053
6222,50094.77,787476.17,17661413
6223,56274.24,1199286,18457165
6224,83111.51,2095953.29,17456552
6225,39070.75,558796.25,17940073
6226,37215.53,581101.5,20902614
6227,42369.61,890246.87,22440833
6228,66043.12,1597591.62,22733858
6229,2274.14,35752.37,19784693
6230,2788.81,44822.68,23967504
